time,open,high,low,close
1997-01-01T00:00:00Z,88.44,93.47,88.24,93.04
1997-02-02T22:00:00Z,93.33,95.74,93.04,94.89
1997-03-02T22:00:00Z,95.14,96.32,94.18,94.72
1997-04-01T01:00:00+01:00,94.6,97.38,94.02,97.23
1997-05-01T00:00:00+01:00,96.97,97.28,93.2,94.85
1997-06-01T22:00:00+01:00,95.63,96.22,94.5,95.67
1997-07-01T00:00:00+01:00,95.76,100,95.21,99.64
1997-08-01T00:00:00+01:00,99.96,101.7,97.96,99
1997-08-31T22:00:00+01:00,99.33,100.09,96.92,97.11
1997-10-01T00:00:00+01:00,97.4,98.15,94.83,95.64
1997-11-02T22:00:00Z,95.97,97.99,94.82,97.79
1997-11-30T22:00:00Z,98.29,99.73,97.81,99.65
1998-01-01T00:00:00Z,99.98,101.53,98.26,100.79
1998-02-01T22:00:00Z,100.78,101.04,98.51,99.82
1998-03-01T22:00:00Z,99.4,101.69,99.3,101.5
1998-04-01T01:00:00+01:00,101.61,102.11,99.11,99.71
1998-05-01T00:00:00+01:00,99.74,100.66,98.61,100.45
1998-05-31T22:00:00+01:00,100.43,102.44,99.43,101.17
1998-07-01T00:00:00+01:00,101.15,102.61,100.24,101.2
1998-08-02T22:00:00+01:00,101.63,102.71,100.11,100.2
1998-09-01T00:00:00+01:00,99.99,100.13,95.41,96.17
1998-10-01T00:00:00+01:00,95.29,95.58,91.38,93.73
1998-11-01T22:00:00Z,93.49,96.92,93.31,96.2
1998-12-01T00:00:00Z,95.6,95.78,93.29,94.17
1999-01-01T00:00:00Z,93.8,96.24,93.05,96.1
1999-01-31T22:00:00Z,95.9,99.48,95.38,98.71
1999-02-28T22:00:00Z,98.89,100.79,98.16,100.02
1999-04-01T01:00:00+01:00,100.02,101.36,99.43,101
1999-05-02T22:00:00+01:00,100.96,102.64,99.35,102.45
1999-06-01T00:00:00+01:00,102.34,103.35,100.87,102.91
1999-07-01T00:00:00+01:00,102.71,104.88,99.62,99.68
1999-08-01T22:00:00+01:00,99.97,101.46,98.88,100.03
1999-09-01T00:00:00+01:00,100.04,101.27,98.26,98.5
1999-10-01T00:00:00+01:00,98.52,99.92,96.94,99.07
1999-10-31T22:00:00Z,98.98,102.34,98.72,101.96
1999-12-01T00:00:00Z,101.98,102.76,100.49,101.87
2000-01-02T22:00:00Z,101.67,105.28,99.71,105.07
2000-02-01T00:00:00Z,104.98,107.37,102.92,105.96
2000-03-01T00:00:00Z,106.22,106.61,104.48,105.46
2000-04-02T22:00:00+01:00,105.61,110.32,104.23,110.13
2000-04-30T22:00:00+01:00,109.9,112.86,108.18,108.64
2000-06-01T00:00:00+01:00,108.65,109.42,105.56,106.8
2000-07-02T22:00:00+01:00,106.82,109.92,106.7,109.58
2000-08-01T00:00:00+01:00,109.5,112.93,109.35,112.59
2000-09-01T00:00:00+01:00,112.36,116.75,111.25,113.25
2000-10-01T22:00:00+01:00,113.14,119.07,112.95,116.62
2000-11-01T00:00:00Z,116.6,118.69,113.92,115.22
2000-12-01T00:00:00Z,115.21,115.44,109.31,109.32
2000-12-31T22:00:00Z,109.33,112.65,108.09,110.47
2001-02-01T00:00:00Z,110.3,113.62,109.4,111.93
2001-03-01T00:00:00Z,112.04,117.63,110.82,117.48
2001-04-01T22:00:00+01:00,117.7,117.82,113.86,115.88
2001-05-01T00:00:00+01:00,115.71,119.29,114.27,119.09
